1000, 1, 141 
1000, 2, 198 
1000, 3, 871 
1000, 4, 1027 
1000, 5, 281 
1000, 6, 1289 
1000, 7, 1028 
1000, 8, 1603 
1000, 9, 1765 
1000, 10, 1895 
1000, 11, 519 
1000, 12, 2322 
1000, 13, 1051 
1000, 14, 2493 
1000, 15, 635 
1000, 16, 713 
10000, 1, 182 
10000, 2, 692 
10000, 3, 642 
10000, 4, 345 
10000, 5, 1124 
10000, 6, 1363 
10000, 7, 1225 
10000, 8, 444 
10000, 9, 1785 
10000, 10, 1953 
10000, 11, 1974 
10000, 12, 1030 
10000, 13, 1394 
10000, 14, 527 
10000, 15, 2776 
10000, 16, 801 
100000, 1, 1264 
100000, 2, 333 
100000, 3, 1067 
100000, 4, 298 
100000, 5, 422 
100000, 6, 1424 
100000, 7, 1686 
100000, 8, 422 
100000, 9, 486 
100000, 10, 519 
100000, 11, 1005 
100000, 12, 2542 
100000, 13, 523 
100000, 14, 715 
100000, 15, 2744 
100000, 16, 1006 
1000000, 1, 2448 
1000000, 2, 960 
1000000, 3, 648 
1000000, 4, 671 
1000000, 5, 625 
1000000, 6, 625 
1000000, 7, 650 
1000000, 8, 670 
1000000, 9, 654 
1000000, 10, 704 
1000000, 11, 795 
1000000, 12, 819 
1000000, 13, 1652 
1000000, 14, 2069 
1000000, 15, 894 
1000000, 16, 969 
10000000, 1, 15689 
10000000, 2, 7317 
10000000, 3, 4747 
10000000, 4, 4112 
10000000, 5, 3625 
10000000, 6, 2894 
10000000, 7, 2804 
10000000, 8, 2533 
10000000, 9, 3494 
10000000, 10, 3548 
10000000, 11, 2830 
10000000, 12, 3056 
10000000, 13, 3014 
10000000, 14, 3313 
10000000, 15, 2828 
10000000, 16, 3330 
100000000, 1, 131126 
100000000, 2, 65958 
100000000, 3, 45021 
100000000, 4, 34843 
100000000, 5, 28700 
100000000, 6, 24977 
100000000, 7, 22495 
100000000, 8, 20724 
100000000, 9, 27009 
100000000, 10, 24863 
100000000, 11, 23657 
100000000, 12, 22240 
100000000, 13, 21269 
100000000, 14, 20718 
100000000, 15, 20412 
100000000, 16, 21777 
